avg_wait,p95_wait,avg_delay,p95_delay,near_misses,severe_conflicts,min_ttc_observed,extensions,ped_type_waits,Controller
7.532258064516139,27.000000000000114,6.448837209302325,21.14000000000003,0,102,0.7251264964489796,0,"{'normal': [0.1, 0.1, 12.599999999999971, 1.6000000000000003, 6.699999999999992, 0.1, 22.900000000000055, 12.599999999999971], 'slow_walker': [22.60000000000005, 11.699999999999974], 'distracted': [19.400000000000006, 25.800000000000097, 2.1000000000000005, 2.1000000000000005], 'elderly': [1.6000000000000003, 1.6000000000000003, 1.6000000000000003, 1.6000000000000003], 'child': [1.2], 'hurried': [12.79999999999997], 'paired_group': [0.5, 0.5, 0.1, 0.1, 28.20000000000013, 28.20000000000013, 6.699999999999992, 6.699999999999992]}",FixedTime
8.24827586206898,27.28000000000011,5.374999999999996,18.424999999999994,0,154,0.4869702112081939,0,"{'normal': [0.8999999999999999, 28.400000000000134, 17.399999999999977, 0.1, 0.1, 3.2000000000000015, 0.1, 19.70000000000001, 0.1, 25.600000000000094], 'slow_walker': [0.1, 3.800000000000002], 'distracted': [2.1000000000000005, 8.599999999999985, 32.100000000000186, 6.099999999999994], 'elderly': [1.6000000000000003, 1.6000000000000003, 1.6000000000000003], 'child': [9.99999999999998, 12.69999999999997], 'hurried': [14.699999999999964, 0.1], 'paired_group': [24.100000000000072, 24.100000000000072, 0.1, 0.1]}",FixedTime
7.136666666666675,26.415000000000102,5.199999999999992,16.95499999999997,4,162,0.2991737797586025,0,"{'normal': [0.1, 29.800000000000153, 19.300000000000004, 0.1, 13.899999999999967, 0.1, 0.1, 0.1], 'slow_walker': [], 'distracted': [3.700000000000002, 2.1000000000000005, 2.1000000000000005, 2.1000000000000005, 22.100000000000044, 2.1000000000000005], 'elderly': [1.6000000000000003, 6.5999999999999925, 1.6000000000000003], 'child': [1.2], 'hurried': [13.399999999999968, 25.700000000000095, 27.000000000000114, 16.29999999999996], 'paired_group': [8.099999999999987, 8.099999999999987, 3.2000000000000015, 3.2000000000000015, 0.1, 0.1]}",FixedTime
7.200000000000008,25.500000000000092,5.404545454545457,22.690000000000058,0,128,0.7445879718362114,0,"{'normal': [0.1, 19.60000000000001, 9.199999999999983, 0.1, 25.900000000000098, 15.299999999999962, 0.1, 21.90000000000004, 11.799999999999974, 0.1, 29.900000000000155], 'slow_walker': [7.099999999999991, 0.1, 25.100000000000087, 0.1], 'distracted': [2.1000000000000005, 2.1000000000000005], 'elderly': [1.6000000000000003], 'child': [], 'hurried': [5.099999999999998, 0.1, 20.600000000000023], 'paired_group': [0.1, 0.1, 1.2, 1.2, 8.899999999999984, 8.899999999999984]}",FixedTime
6.137500000000006,25.310000000000088,4.936363636363631,16.564999999999966,0,77,0.7071067811865476,0,"{'normal': [11.799999999999974, 1.5000000000000002, 0.1, 28.90000000000014, 18.499999999999993, 0.1, 0.1, 24.500000000000078, 13.499999999999968, 0.1, 0.1, 19.900000000000013, 9.499999999999982, 0.1, 26.300000000000104, 15.99999999999996, 0.1], 'slow_walker': [0.1, 0.1], 'distracted': [2.1000000000000005], 'elderly': [1.6000000000000003, 3.3000000000000016], 'child': [], 'hurried': [], 'paired_group': [7.699999999999989, 7.699999999999989, 0.1, 0.1, 0.1, 0.1]}",FixedTime
7.353125000000016,29.125000000000142,5.786363636363633,18.639999999999997,0,95,0.8075098844601125,0,"{'normal': [1.7000000000000004, 0.1, 0.1, 23.10000000000006, 20.600000000000023, 0.1, 0.1, 0.1], 'slow_walker': [6.999999999999991, 12.299999999999972, 1.3], 'distracted': [18.39999999999999], 'elderly': [1.6000000000000003, 31.100000000000172, 1.6000000000000003, 3.1000000000000014], 'child': [28.90000000000014, 25.200000000000088], 'hurried': [29.400000000000148, 13.09999999999997, 0.1, 10.699999999999978], 'paired_group': [0.1, 0.1, 2.0000000000000004, 2.0000000000000004, 0.1, 0.1]}",FixedTime
7.50909090909092,27.72000000000012,4.590697674418599,16.95999999999997,0,162,0.5773340512576517,0,"{'normal': [11.699999999999974, 29.800000000000153, 19.400000000000006, 8.899999999999984, 0.1, 0.1, 26.80000000000011, 16.399999999999963, 0.1, 0.1, 0.9999999999999999, 0.1, 0.1, 29.100000000000144, 18.599999999999994, 7.699999999999989], 'slow_walker': [], 'distracted': [2.1000000000000005, 13.399999999999968], 'elderly': [1.6000000000000003, 1.6000000000000003], 'child': [], 'hurried': [], 'paired_group': [0.1, 0.1, 0.1, 0.1, 5.1999999999999975, 5.1999999999999975, 22.50000000000005, 22.50000000000005]}",FixedTime
6.2633333333333345,22.380000000000045,4.447727272727267,15.324999999999962,0,169,0.47781705792023066,0,"{'normal': [12.099999999999973, 0.7, 0.1, 7.799999999999988, 0.1, 0.1, 13.899999999999967, 0.1, 0.1, 19.300000000000004, 8.799999999999985, 0.1, 16.499999999999964, 0.1], 'slow_walker': [23.800000000000068], 'distracted': [2.1000000000000005, 2.1000000000000005, 7.899999999999988], 'elderly': [1.6000000000000003, 1.6000000000000003], 'child': [23.10000000000006], 'hurried': [19.500000000000007, 0.1], 'paired_group': [2.3000000000000007, 2.3000000000000007]}",FixedTime
6.906451612903237,26.900000000000112,4.349999999999996,15.79999999999996,2,198,0.762732341295382,0,"{'normal': [11.899999999999974, 1.3, 29.000000000000142, 18.499999999999993, 8.299999999999986, 0.1, 3.600000000000002, 0.1, 0.1, 0.1, 25.500000000000092], 'slow_walker': [9.399999999999983, 3.4000000000000017], 'distracted': [21.80000000000004], 'elderly': [23.30000000000006, 28.300000000000132, 1.6000000000000003], 'child': [], 'hurried': [0.1, 0.1, 15.499999999999961], 'paired_group': [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 4.300000000000001, 4.300000000000001]}",FixedTime
7.367741935483882,27.150000000000116,5.136363636363632,19.810000000000013,0,216,0.4623084002752439,0,"{'normal': [12.69999999999997, 28.700000000000138, 0.1, 15.199999999999962, 0.1, 0.1, 21.300000000000033, 10.09999999999998, 0.1, 0.1, 28.500000000000135, 5.699999999999996], 'slow_walker': [0.1], 'distracted': [2.1000000000000005, 2.1000000000000005, 18.699999999999996], 'elderly': [1.6000000000000003, 1.6000000000000003, 15.199999999999962], 'child': [5.4999999999999964], 'hurried': [4.899999999999999], 'paired_group': [0.1, 0.1, 0.1, 0.1, 25.800000000000097, 25.800000000000097]}",FixedTime
