Threshold,Grace (s),Max Ext (s),Avg Wait,Avg Delay,Pareto Score
0.4,1.0,12.5,1.8260869565217372,5.45862068965517,7.284707646176908
0.4,2.0,12.5,1.8260869565217372,5.45862068965517,7.284707646176908
0.4,3.0,12.5,1.8260869565217372,5.45862068965517,7.284707646176908
0.45,3.0,12.5,2.3887499999999964,5.110344827586204,7.4990948275862
0.45,2.0,12.5,2.3887499999999964,5.110344827586204,7.4990948275862
0.45,1.0,12.5,2.3887499999999964,5.110344827586204,7.4990948275862
0.5,3.0,12.5,2.8521739130434747,5.099999999999998,7.952173913043472
0.5,2.0,12.5,2.8521739130434747,5.099999999999998,7.952173913043472
0.5,1.0,12.5,2.8521739130434747,5.099999999999998,7.952173913043472
0.4,1.0,7.5,2.9571428571428524,5.370689655172409,8.327832512315261
0.4,3.0,7.5,2.9571428571428524,5.370689655172409,8.327832512315261
0.4,2.0,7.5,2.9571428571428524,5.370689655172409,8.327832512315261
0.4,3.0,10.0,2.9571428571428524,5.413793103448272,8.370935960591124
0.4,1.0,10.0,2.9571428571428524,5.413793103448272,8.370935960591124
0.4,2.0,10.0,2.9571428571428524,5.413793103448272,8.370935960591124
0.45,2.0,7.5,3.200952380952376,5.2241379310344795,8.425090311986855
0.45,3.0,7.5,3.200952380952376,5.2241379310344795,8.425090311986855
0.45,1.0,7.5,3.200952380952376,5.2241379310344795,8.425090311986855
0.45,1.0,10.0,3.200952380952376,5.267241379310342,8.468193760262718
0.45,2.0,10.0,3.200952380952376,5.267241379310342,8.468193760262718
0.45,3.0,10.0,3.200952380952376,5.267241379310342,8.468193760262718
0.5,1.0,7.5,3.313043478260864,5.301724137931029,8.614767616191894
0.5,2.0,7.5,3.313043478260864,5.301724137931029,8.614767616191894
0.5,3.0,7.5,3.313043478260864,5.301724137931029,8.614767616191894
0.5,3.0,10.0,3.859090909090903,5.068965517241376,8.92805642633228
0.5,2.0,10.0,3.859090909090903,5.068965517241376,8.92805642633228
0.5,1.0,10.0,3.859090909090903,5.068965517241376,8.92805642633228
0.55,3.0,10.0,5.372608695652167,4.239655172413789,9.612263868065956
0.55,1.0,7.5,5.372608695652167,4.239655172413789,9.612263868065956
0.55,1.0,10.0,5.372608695652167,4.239655172413789,9.612263868065956
0.55,1.0,12.5,5.372608695652167,4.239655172413789,9.612263868065956
0.55,2.0,7.5,5.372608695652167,4.239655172413789,9.612263868065956
0.55,2.0,10.0,5.372608695652167,4.239655172413789,9.612263868065956
0.55,2.0,12.5,5.372608695652167,4.239655172413789,9.612263868065956
0.55,3.0,7.5,5.372608695652167,4.239655172413789,9.612263868065956
0.55,3.0,12.5,5.372608695652167,4.239655172413789,9.612263868065956
